S,rd,price
0.65822785,0.02137931,0.00017526
0.65822785,0.02551724,0.00019177
0.65822785,0.02965517,0.00020960
0.65822785,0.03379310,0.00022885
0.65822785,0.03793103,0.00024959
0.65822785,0.04206897,0.00027193
0.65822785,0.04620690,0.00029596
0.65822785,0.05034483,0.00032179
0.65822785,0.05448276,0.00034952
0.65822785,0.05862069,0.00037928
0.65822785,0.06275862,0.00041117
0.65822785,0.06689655,0.00044532
0.65822785,0.07103448,0.00048187
0.65822785,0.07517241,0.00052093
0.65822785,0.07931034,0.00056266
0.65822785,0.08344828,0.00060720
0.65822785,0.08758621,0.00065469
0.65822785,0.09172414,0.00070529
0.65822785,0.09586207,0.00075916
0.65822785,0.10000000,0.00075916
0.70886076,-0.02000000,0.00032161
0.70886076,-0.01586207,0.00032161
0.70886076,-0.01172414,0.00035104
0.70886076,-0.00758621,0.00038273
0.70886076,-0.00344828,0.00041682
0.70886076,0.00068966,0.00045345
0.70886076,0.00482759,0.00049276
0.70886076,0.00896552,0.00053493
0.70886076,0.01310345,0.00058010
0.70886076,0.01724138,0.00062845
0.70886076,0.02137931,0.00068015
0.70886076,0.02551724,0.00073539
0.70886076,0.02965517,0.00079436
0.70886076,0.03379310,0.00085724
0.70886076,0.03793103,0.00092425
0.70886076,0.04206897,0.00099559
0.70886076,0.04620690,0.00107148
0.70886076,0.05034483,0.00115214
0.70886076,0.05448276,0.00123780
0.70886076,0.05862069,0.00132870
0.70886076,0.06275862,0.00142507
0.70886076,0.06689655,0.00152718
0.70886076,0.07103448,0.00163527
0.70886076,0.07517241,0.00174962
0.70886076,0.07931034,0.00187049
0.70886076,0.08344828,0.00199816
0.70886076,0.08758621,0.00213291
0.70886076,0.09172414,0.00227504
0.70886076,0.09586207,0.00242484
0.70886076,0.10000000,0.00242484
0.75949367,-0.02000000,0.00113378
0.75949367,-0.01586207,0.00113378
0.75949367,-0.01172414,0.00122271
0.75949367,-0.00758621,0.00131733
0.75949367,-0.00344828,0.00141792
0.75949367,0.00068966,0.00152477
0.75949367,0.00482759,0.00163816
0.75949367,0.00896552,0.00175839
0.75949367,0.01310345,0.00188577
0.75949367,0.01724138,0.00202062
